Label,URI,Comment
mass concentration of nitric acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_nitric_acid_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for nitric acid is HNO3."
mass concentration of nitric acid trihydrate ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_nitric_acid_trihydrate_ambient_aerosol_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Ambient aerosol is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the aerosol. The chemical formula for nitric acid is HNO3. Nitric acid trihydrate, sometimes referred to as NAT, is a stable crystalline substance consisting of three molecules of water to one molecule of nitric acid."
mass concentration of nitrogen dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_nitrogen_dioxide_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for nitrogen dioxide is NO2."
mass concentration of nitrogen monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_nitrogen_monoxide_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for nitrogen monoxide is NO."
mass concentration of nitrous acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_nitrous_acid_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for nitrous acid is HNO2."
mass concentration of nitrous oxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_nitrous_oxide_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for nitrous oxide is N2O."
mass concentration of nmvoc expressed as carbon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_nmvoc_expressed_as_carbon_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. nmvoc means non methane volatile organic compounds. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass concentration of nox expressed as nitrogen in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_nox_expressed_as_nitrogen_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Nox means a combination of two radical species containing nitrogen and oxygen: NO+NO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass concentration of noy expressed as nitrogen in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_noy_expressed_as_nitrogen_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Noy describes a family of chemical species. The family usually includes atomic nitrogen (N), nitrogen monoxide (NO), nitrogen dioxide (NO2), dinitrogen pentoxide (N2O5), nitric acid (HNO3), peroxynitric acid (HNO4), bromine nitrate (BrONO2) , chlorine nitrate (ClONO2) and organic nitrates (most notably peroxyacetyl nitrate, sometimes referred to as PAN, (CH3COO2NO2)). The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass concentration of oxygenated hydrocarbons in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_oxygenated_hydrocarbons_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'.  Oxygenated means containing oxygen. Hydrocarbon means a compound containing hydrogen and carbon."
mass concentration of ozone in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_ozone_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ozone is O3."
mass concentration of particulate organic matter dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water. The term particulate_organic_matter_dry_aerosol means all particulate organic matter dry aerosol except black carbon. It is the sum of primary_particulate_organic_matter_dry_aerosol and secondary_particulate_organic_matter_dry_aerosol."
mass concentration of peroxy radicals in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_peroxy_radicals_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The term peroxy_radicals means all organic and inorganic peroxy radicals. This includes HO2 and all organic peroxy radicals, sometimes referred to as RO2. In chemistry, a 'radical' is a highly reactive, and therefore shortlived, species."
mass concentration of peroxyacetyl nitrate in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_peroxyacetyl_nitrate_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for peroxyacetyl nitrate, sometimes referred to as PAN, is CH3COO2NO2.  The IUPAC name for peroxyacetyl_nitrate is nitroethaneperoxoate."
mass concentration of peroxynitric acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_peroxynitric_acid_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for peroxynitric acid, sometimes referred to as PNA, is HO2NO2."
mass concentration of primary particulate organic matter dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water. Primary particulate organic matter  means all organic matter emitted directly to the atmosphere as particles except black carbon. The sum of primary_particulate_organic_matter_dry_aerosol and secondary_particulate_organic_matter_dry_aerosol is particulate_organic_matter_dry_aerosol."
mass concentration of propane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_propane_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for propane is C3H8. Propane is a member of the group of hydrocarbons known as alkanes.  There are standard names for the alkane group as well as for some of the individual species."
mass concentration of propene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_propene_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for propene is C3H6. Propene is a member of the group of hydrocarbons known as alkenes.  There are standard names for the alkene group as well as for some of the individual species."
mass concentration of radon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_radon_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for radon is Rn."
mass concentration of seasalt dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_seasalt_dry_aerosol_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water."
mass concentration of secondary particulate organic matter dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water. Secondary particulate organic matter  means particulate organic matter formed within the atmosphere from gaseous precursors. The sum of primary_particulate_organic_matter_dry_aerosol and secondary_particulate_organic_matter_dry_aerosol is particulate_organic_matter_dry_aerosol."
mass concentration of sulfate ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_sulfate_ambient_aerosol_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y. A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Ambient aerosol is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the aerosol."
mass concentration of sulfate dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_sulfate_dry_aerosol_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water. The chemical formula for the sulfate anion is SO4(2-)."
mass concentration of sulfur dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_sulfur_dioxide_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for sulfur dioxide is SO2."
mass concentration of terpenes in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_terpenes_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Terpenes are hydrocarbons, that is, they contain only hydrogen and carbon combined in the general proportions (C5H8)n where n is an integer greater than on equal to one. The term terpenes is used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.  Standard names exist for some individual terpene species, e.g., isoprene and limonene."
mass concentration of toluene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_toluene_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for toluene is C6H5CH3.  Toluene has the same structure as benzene, except that one of the hydrogen atoms is replaced by a methyl group.  The systematic name for toluene is methylbenzene."
mass concentration of water in ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_water_in_ambient_aerosol_in_air," Water means water in all phases.  Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Ambient aerosol is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the aerosol."
mass concentration of water vapor in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_water_vapor_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'."
mass concentration of xylene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_xylene_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for xylene is C6H4C2H6. In chemistry, xylene is a generic term for a group of three isomers of dimethylbenzene. The IUPAC names for the isomers are 1,2-dimethylbenzene, 1,3-dimethylbenzene and 1,4-dimethylbenzene. Xylene is an aromatic hydrocarbon. There are standard names that refer to aromatic_compounds as a group, as well as those for individual species."
mass fraction of acetic acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_acetic_acid_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for acetic_acid is CH3COOH. The IUPAC name for acetic acid is ethanoic acid."
mass fraction of aceto nitrile in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_aceto_nitrile_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for aceto-nitrile is CH3CN. The IUPAC name for aceto-nitrile is ethanenitrile."
mass fraction of alkanes in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_alkanes_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Alkanes are saturated hydrocarbons, i.e. they do not contain any chemical double bonds.  Alkanes contain only hydrogen and carbon combined in the general proportions C(n)H(2n+2); alkanes is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkane species, e.g., methane and ethane."
mass fraction of alkenes in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_alkenes_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Alkenes are unsaturated hydrocarbons as they contain chemical double bonds between adjacent carbon atoms.  Alkenes contain only hydrogen and carbon combined in the general proportions C(n)H(2n); alkenes is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkene species, e.g., ethene and propene."
mass fraction of alpha hexachlorocyclohexane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_alpha_hexachlorocyclohexane_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for alpha_hexachlorocyclohexane is C6H6Cl6."
mass fraction of alpha pinene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_alpha_pinene_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for alpha_pinene is C10H16. The IUPAC name for alpha-pinene is (1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene."
mass fraction of ammonia in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_ammonia_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ammonia is NH3."
mass fraction of ammonium dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_ammonium_dry_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  Mass_fraction_of_ammonium means that the mass is expressed as mass of NH4.  Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water."
mass fraction of anthropogenic nmvoc expressed as carbon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_anthropogenic_nmvoc_expressed_as_carbon_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. nmvoc means non methane volatile organic compounds. Anthropogenic means influenced, caused, or created by human activity.  The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass fraction of aromatic compounds in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_aromatic_compounds_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aromatic compounds in organic chemistry are compounds that contain at least one benzene ring of six carbon atoms joined by alternating single and double covalent bonds.  The simplest aromatic compound is benzene itself.  In standard names aromatic_compounds is the term used to describe the group of aromatic chemical species that  are represented within a given model.  The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.  Standard names exist for some individual aromatic species, e.g. benzene and xylene."
mass fraction of atomic bromine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_atomic_bromine_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic bromine is Br."
mass fraction of atomic chlorine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_atomic_chlorine_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic chlorine is Cl."
mass fraction of atomic nitrogen in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_atomic_nitrogen_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic nitrogen is N."
mass fraction of benzene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_benzene_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for benzene is C6H6.  Benzene is the simplest aromatic hydrocarbon and has a ring structure consisting of six carbon atoms joined by alternating single and double chemical bonds. Each carbon atom is additionally bonded to one hydrogen atom. There are standard names that refer to aromatic_compounds as a group, as well as those for individual species."
mass fraction of beta pinene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_beta_pinene_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for beta_pinene is C10H16.  The IUPAC name for beta-pinene is (1S,5S)-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane."
mass fraction of biogenic nmvoc expressed as carbon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_biogenic_nmvoc_expressed_as_carbon_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. nmvoc means non methane volatile organic compounds. Biogenic means influenced, caused, or created by natural processes. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass fraction of black carbon dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_black_carbon_dry_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water.  Black carbon aerosol is composed of elemental carbon.  It is strongly light absorbing."
mass fraction of bromine chloride in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_bromine_chloride_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for bromine chloride is BrCl."
mass fraction of bromine monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_bromine_monoxide_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for bromine monoxide is BrO."
mass fraction of bromine nitrate in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_bromine_nitrate_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for bromine nitrate is BrONO2."
mass fraction of brox expressed as bromine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_brox_expressed_as_bromine_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Brox  describes a family of chemical species consisting of inorganic bromine compounds with the exception of  hydrogen bromide (HBr) and bromine nitrate (BrONO2). Brox is the term used in standard names for all species belonging to the family that are represented within a given model. The list of individual species that are included in a quantity with a group chemical standard name can vary between models.  Where possible, the data variable should be accompaniedby a complete description of the species represented, for example, by using a comment attribute. Inorganic bromine, sometimes referred to as Bry, describes a family of chemical species which result from the degradation of source gases containing bromine (halons, methyl bromide, VSLS) and natural inorganic bromine sources such as volcanoes, seasalt and other aerosols.  Standard names that use the term inorganic_bromine are usedfor quantities that contain all inorganic bromine species including HCl and ClONO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass fraction of butane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_butane_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for butane is C4H10. Butane is a member of the group of hydrocarbons known as alkanes.  There are standard names for the alkane group as well as for some of the individual species."
mass fraction of carbon dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_carbon_dioxide_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for carbon dioxide is CO2."
